transaction_id,posted_date,description,amount,currency,account_number
TX-BK-9801,2026-02-02,ACH DEBIT AWS CLOUD SERVICES REF INV-2026-001,3693.60,USD,****4412
TX-BK-9802,2026-02-04,WIRE TFR GOOGLE CLOUD PLATFORM SAN JOSE,1998.00,USD,****4412
TX-BK-9803,2026-02-07,DIRECT DEBIT TWILIO COMMS SVC,685.03,USD,****4412
TX-BK-9804,2026-02-07,ACH PAYOUT SLACK TECHNOLOGIES,1200.00,USD,****4412
TX-BK-9805,2026-02-09,CARD PURCHASE FIGMA SUBSCRIPTION,810.00,USD,****8829
TX-BK-9806,2026-02-12,ACH DEBIT DATADOG INC NY,2268.00,USD,****4412
TX-BK-9807,2026-02-13,DIRECT DEBIT GITHUB ENTERPRISE,907.20,USD,****4412
TX-BK-9808,2026-02-13,STRIPE BILLING AUTO DEBIT,415.50,USD,****4412
TX-BK-9809,2026-02-15,WIRE WEWORK OFFICE LEASE,3780.00,USD,****4412
TX-BK-9810,2026-02-20,UNAUTHORIZED VENDOR DEBIT ACME SOFTWARE,640.00,USD,****4412
TX-BK-9811,2026-02-21,BANK WIRE CONVERSION EXPENSE SURCHARGE,45.00,USD,****4412
